"source","text","nwords","contains_url","sentiment","dow","day","hour"
"Android",".@JebBush is a sad case. A total embarrassment to both himself and his family, he just announced he will continue to spend on Trump hit ads!",26,FALSE,"negative","Saturday",1,7.1725
"Android",".@JebBush is a low energy ""stiff"" who should focus his special interest money on the many people ahead of him in the polls. Has no chance!",26,FALSE,"positive","Saturday",1,7.28666666666667
"Android","Hillary Clinton said that it is O.K. to ban Muslims from Israel by building a WALL, but not O.K. to do so in the U.S. We must be vigilant!",29,FALSE,"positive","Saturday",1,8.38333333333333
"Android","Hillary Clinton doesn't have the strength or stamina to be president. Jeb Bush is a low energy individual, but Hillary is not much better!",24,FALSE,"positive","Saturday",1,15.0047222222222
"Android","I hope Bill Clinton starts talking about women's issues so that voters can see what a hypocrite he is and how Hillary abused those women!",25,FALSE,"anticipation","Saturday",1,15.0827777777778
"Android","When I look at all of the money the special interests and lobbyists are giving to candidates, beware - the candidates are mere puppets $$$$!",25,FALSE,"positive","Saturday",1,16.0194444444444
"Android","Remember, I am self-funding my campaign, the only one in either party. I'm not controlled by lobbyists or special interests-only the U.S.A.!",22,FALSE,"joy","Saturday",1,16.1261111111111
"iOS","Heading to Biloxi, Mississippi. Massive crowds expected. Thank you for your support! #VoteTrump2016 https://t.co/1VMngEMLzT",14,TRUE,"anticipation","Saturday",1,17.7044444444444
"Android","Just arrived in Mississippi for the rally. Word is that the crowd is overflowing and massive. Will be an amazing evening!",21,FALSE,"positive","Saturday",1,19.4125
"iOS","Thank you #Biloxi, #Mississippi! Remember this night &amp; spread the word to get out &amp; #VoteTrump2016! https://t.co/hfYdkY5DKq",17,TRUE,"positive","Saturday",1,23.8919444444444
"Android","Just returned from Mississippi - a great evening.",8,FALSE,NA,"Sunday",2,0.611111111111107
"Android","Hillary Clinton lied last week when she said ISIS made a D.T. video. The video that ISIS made was about her husband being a degenerate.",25,FALSE,"negative","Sunday",2,8.98888888888889
"Android","Al-Shabbab, not ISIS, just made a video on me - they all will as front-runner &amp; if I speak out against them, which I must. Hillary lied!",27,FALSE,NA,"Sunday",2,9.20055555555555
"Android","Hillary said that guns don't keep you safe. If she really believes that she should demand that her heavily armed bodyguards quickly disarm!",23,FALSE,"negative","Sunday",2,9.45527777777777
"iOS","Thank you for your support in Biloxi, MS! Let's ALL get out &amp; VOTE in 2016, so we can #MakeAmericaGreatAgain! https://t.co/RSZF12Kyhn",21,TRUE,"anger","Sunday",2,11.7597222222222
"Android","Does anybody remember when Bill Clinton, in 2008, worked long and hard for Hillary? She LOST! Now Bill is at it again. Just watch.",24,FALSE,"anticipation","Sunday",2,12.9238888888889
"Android",".@chucktodd said today on @meetthepress that ""attacking Bill to get to Hillary has never worked before."" Wrong - attacked him in '08 &amp; won!",24,FALSE,"negative","Sunday",2,13.2247222222222
"Android",".@RuthMarcus of the @washingtonpost was terrible today on Face The Nation.No focus, poor level of concentration-but correct on Hillary lying",20,FALSE,"anger","Sunday",2,14.0655555555556
"Android","Iran, with all of the money and all else given to them by Obama, has wanted a way to take over Saudi Arabia &amp; their oil. THEY JUST FOUND IT!",30,FALSE,"joy","Sunday",2,15.0161111111111
"iOS","The worst thing Hillary could do is have her husband campaign for her. Just watch.",15,FALSE,"anticipation","Sunday",2,18.3130555555556
"iOS","By the way, Hillary &amp; the MSM forgot to mention that Hillary is in the 
Al-Shabaab terror video. https://t.co/gRannsRXJr",19,TRUE,"fear","Sunday",2,18.3291666666667
"Android","The rally in Lowell, Massachusetts, was amazing. 10,000 people going wild. MAKE AMERICA GREAT AGAIN!",15,FALSE,"negative","Monday",3,21.3494444444444
"iOS","I am in New Hampshire. Just received great news from Reuters poll. Thank you for your support! https://t.co/yzp9dGfbce",18,TRUE,"positive","Tuesday",4,19.4752777777778
